injury_body_part,rotoworld_id,full_name,news_updated,number,active,birth_country,practice_participation,depth_chart_position,practice_description,team,birth_state,player_id,status,pandascore_id,depth_chart_order,college,yahoo_id,injury_start_date,oddsjam_id,fantasy_data_id,opta_id,swish_id,height,team_abbr,espn_id,hashtag,birth_city,rotowire_id,sport,competitions,high_school,fantasy_positions,last_name,gsis_id,injury_status,search_rank,search_full_name,team_changed_at,weight,search_first_name,sportradar_id,search_last_name,position,years_exp,age,birth_date,first_name,stats_id,injury_notes,metadata.channel_id,metadata.rookie_year,metadata.years_exp_shift,metadata,metadata.source_id,metadata.override_active,metadata.injury_override_regular_2020_5,metadata.injury_override_regular_2024_6,metadata.name,metadata.injury_override_regular_2024_11,metadata.injury_override_regular_2024_3,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2021_3,metadata.injury_override_off_2021_0,metadata.injury_override_off_2025_0,metadata.injury_override_off_2025_1,metadata.injury_override_regular_2024_7,metadata.injury_override_regular_2024_10,metadata.injury_override_regular_2024_14,metadata.injury_override_regular_2024_12,metadata.injury_override_regular_2024_15,metadata.injury_override_regular_2020_8,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2020_10,metadata.injury_override_post_2024_3,metadata.injury_override_regular_2024_9,metadata.injury_override_regular_2024_4,metadata.injury_override_regular_2021_4,metadata.injury_override_regular_2024_8,metadata.injury_override_regular_2024_17,metadata.injury_override_regular_2024_13
,,Ellis Richardson,,45.0,True,,,,,,,6462,Active,,,Georgia Southern,32262.0,,,21427.0,,,75,,3926590.0,#ellisrichardson-NFL-FA-45,,14134.0,nfl,[],Douglas County,['TE'],Richardson, 00-0035057,,9999999.0,ellisrichardson,,245,ellis,efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,richardson,TE,3.0,26.0,1995-02-12,Ellis,887183.0,,1116853254748110848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nick Amoah,,0.0,True,,,,,,,11255,Active,,,UC Davis,,,,,,1052592.0,74,,,#nickamoah-NFL-FA-0,,,nfl,[],Davis (CA),['OL'],Amoah,,,9999999.0,nickamoah,,306,nick,55510c00-ead2-11ed-999e-03b49558b5db,amoah,OL,0.0,,,Nick,,,1116852669114220544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Malkelm Morrison,1653351613345.0,0.0,True,,,,,,,8842,Injured Reserve,,,Army,,,,,,1131137.0,70,,,#malkelmmorrison-NFL-FA-0,,16558.0,nfl,[],Iona Prep (NY),['DB'],Morrison,,,9999999.0,malkelmmorrison,,186,malkelm,3c804b10-d3a8-11ec-96a0-c3471a31202c,morrison,CB,1.0,,,Malkelm,,,1116853537213513728,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carl Tucker,1631568053348.0,0.0,True,,,,,,,7926,Active,,,Alabama,,,,,,866047.0,74,,,#carltucker-NFL-FA-0,,15412.0,nfl,[],Hough (NC),['TE'],Tucker,,,426.0,carltucker,,250,carl,fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,tucker,TE,1.0,24.0,1997-02-06,Carl,,,1116853436709601280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neck,9631.0,C.J. Mosley,1750349738286.0,57.0,True,,,,,,,1875,Active,,,Alabama,27545.0,,97CDFFA7FA4D,16093.0,,557173.0,74,,16720.0,#cjmosley-NFL-FA-57,,9380.0,nfl,[],Theodore (AL),['LB'],Mosley,00-0031296,Questionable,216.0,cjmosley,,231,cj,bf5f7564-349a-439a-a8a9-4ddb10448a8d,mosley,LB,11.0,32.0,1992-06-19,C.J.,,,1113708745461886977,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Samuel Womack,1737226242174.0,33.0,True,,,NB,,IND,,8478,Active,,2.0,Toledo,,,0823DA35726D,,,1085180.0,71,,,#samuelwomack-NFL-IND-33,,16274.0,nfl,[],East English Village Prep (MI),['DB'],Womack,,,9999999.0,samuelwomack,,189,samuel,75c1ed8d-4f05-43c1-b398-f212984b6b8b,womack,CB,3.0,25.0,1999-07-07,Samuel,,,1113708876978483201,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6811.0,Ron Parker,1578330037366.0,0.0,False,,,,,,,995,Injured Reserve,,,Newberry,25090.0,,,13476.0,,,72,,14297.0,#ronparker-NFL-FA-0,,7817.0,nfl,[],Beaufort (SC),['DB'],Parker,00-0028445,,9999999.0,ronparker,,206,ron,e9a0297a-0b34-4c55-af1f-ca113d672195,parker,FS,11.0,34.0,1987-08-17,Ron,512802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8390.0,Le'Veon Bell,1707165960874.0,6.0,True,,,,,TB,,1408,Active,,,Michigan State,26671.0,,,14967.0,,543654.0,73,,15825.0,#leveonbell-NFL-TB-6,,8617.0,nfl,[],Groveport Madison (OH),['RB'],Bell,00-0030496,,235.0,leveonbell,,225,leveon,7735c02a-ee75-447c-86e6-6c2168500050,bell,RB,9.0,29.0,1992-02-18,Le'Veon,543654.0,,1116852736248250368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Matt Seybert,1629836727949.0,41.0,True,,,,,,,8074,Active,,,Michigan State,,,,,,,76,,,#mattseybert-NFL-FA-41,,15785.0,nfl,[],St. Francis (MI),['TE'],Seybert,,,,mattseybert,,252,matt,22ec09a7-6001-43b7-adf9-cf0df941ad0e,seybert,TE,1.0,24.0,1997-05-02,Matt,,,1116853462399713280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4319.0,William Gay,1534088707204.0,25.0,False,,,,,,,156,Inactive,,,Louisville,8424.0,,,4122.0,,,"5'10""",,10613.0,#williamgay-NFL-FA-25,,6211.0,nfl,[],James R. Rickards (FL),['DB'],Gay,00-0025557,,9999999.0,williamgay,,187,william,a2907a39-139b-483f-8369-e278c26a6951,gay,CB,13.0,35.0,1985-01-01,William,229499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
